ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,64.94,128,13.15,52184460
4096,2048,78.77,128,13.11,80373132
6144,2048,80.00,128,13.04,108561804
8192,2048,79.54,128,12.86,136750476
10240,2048,80.94,128,12.80,164939148
12288,2048,80.79,128,12.76,193127820
14336,2048,81.45,128,12.70,221316492
16384,2048,82.22,128,12.44,249505164
18432,2048,85.38,128,12.42,277693836
20480,2048,85.25,128,12.38,305882508
22528,2048,101.03,128,12.33,334071180
24576,2048,101.78,128,12.12,362259852
26624,2048,102.94,128,12.15,390448524
28672,2048,100.62,128,11.66,418637196
30720,2048,158.19,128,11.82,446825868
32768,2048,162.55,128,11.84,475014540
34816,2048,161.57,128,11.82,503203212
36864,2048,161.88,128,11.68,531391884
38912,2048,161.23,128,11.71,559580556
40960,2048,232.60,128,11.55,587769228
43008,2048,226.24,128,11.47,615957900
45056,2048,229.52,128,11.64,644146572
47104,2048,222.32,128,11.42,672335244
49152,2048,222.06,128,11.04,700523916
51200,2048,214.51,128,11.48,728712588
53248,2048,216.55,128,11.19,756901260
55296,2048,212.84,128,11.38,785089932
57344,2048,197.57,128,11.32,813278604
59392,2048,201.49,128,11.30,841467276
61440,2048,192.28,128,10.92,869655948
63488,2048,200.60,128,11.17,897844620
65536,2048,190.59,128,11.09,926033292
